id,name,price,original_price,discount,rating_average,review_count,brand,category
276285253,Túi Vải Canvas đặc biệt Đựng Ly Giữ Nhiệt Commuter 1180ml tiện lợi đi học đi làm đi chơi - ELEMENTAL,85000,85000,0,5.0,1,Elemental,
276177979,Túi giữ mát đựng cơm hằng ngày LocknLock,203000,315000,112000,4.5,7,LocknLock,
276025122,Chảo inox nguyên khối Elmich Trimax EL 3846 LOL size 28cm,519000,999000,480000,5.0,2,Elmich,
275936249,"Khăn Tắm Nén Du Lịch Tiện Lợi Dùng 1 Lần 70*100cm, Bao Bì Đỏ - Chính Hãng",19000,29000,10000,5.0,2,lilahome,
275869950,Đèn LED gắn tường cảm biến GT16.PIR 15W,193000,367000,174000,5.0,2,Rạng Đông,
275570183,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8336 dung tích 800ml,309000,750000,441000,4.7,12,Elmich,
275511640,Chảo chống dính Elmich EL-4718OL,143000,289000,146000,5.0,23,Elmich,
275261014,"Cây lau nhà tự vắt có thùng 2 ngăn Deli, Bộ chổi lau nhà 360 độ kèm 3 bông lau microfiber siêu sạch",45000,81000,36000,4.5,8,Deli,
275090381,"Gói Xi Măng Dẻo 20g Bịt Lỗ Điều Hoà, Đường Ống Nước, Keo Dán Lỗ Tường Bằng Xi Măng",2500,4000,1500,4.7,3,fofaHome,
274965041,"Máy Bắt Muỗi Thông Minh HIKITECH, Diệt Côn Trùng Đa Năng, Hiệu Quả. Tặng kèm Chổi Vệ Sinh Lồng Đèn",279000,279000,0,5.0,12,HIKITECH,
274798475,"[Loại 1 - có Khay ] Máy bắt muỗi diệt côn trùng thông minh, Đèn bắt muỗi kiêm đèn ngủ có cổng sạc USB  - Hãng miDoctor",102000,102000,0,5.0,1,miDoctor,
274650574,Móc Treo Thau Kiểu Vuông Dán Tường Chắc Chắn,18050,19000,950,4.5,2,NAVIVU,
273661034,Bình giữ nhiệt inox 316 Elmich EL8316 dung tích 460ml - Hàng Chính Hãng,256000,490000,234000,4.6,13,Elmich,
273661002,Bình giữ nhiệt inox 316 Elmich EL8315 dung tích 480ml - Hàng Chính Hãng,198000,470000,272000,4.8,26,Elmich,
273244983,Cốc giữ nhiệt inox 304 Elmich EL8309 dung tích 900ml - Hàng Chính Hãng,299000,559000,260000,4.6,25,Elmich,
272484433,Đồng hồ treo tường kim trôi không ồn minimalist phong cách tối giản trang trí phòng khách Bảo hành 12 tháng Deli,139000,304200,165200,4.8,34,Deli,
270102591,"Nhiệt kế đo độ ẩm, máy đo nhiệt độ phòng cho bé - Nhiệt Ẩm Kế Điện Tử 3 Trong 1 - Thương hiệu RiBi - Hàng Chính Hãng",149000,165000,16000,4.8,33,RIBI,
